feature_group,n_features,mean_test_accuracy,mean_test_macro_f1,mean_test_precision_macro,mean_test_recall_macro
ALL_FEATURES,114,0.6239226794417283,0.5694204880136178,0.6029876165343905,0.588767467607226
ALL_ASSETS_NO_REL,109,0.6024563765148078,0.5663172692250567,0.5785074614814893,0.5864478849204087
ALL_NO_TEMPORAL,109,0.6024563765148078,0.5663172692250567,0.5785074614814893,0.5864478849204087
TECHNICAL_ALL_ASSETS,32,0.5894409343264091,0.5533051391638169,0.590789919926472,0.575027891328744
SOL_VOL_BTC_VOL,59,0.5888959988704296,0.5434175769348064,0.5656080114417518,0.5790711563525366
SOL_ALL_PLUS_EXOG_RET_VOL,93,0.5904731717071336,0.5376933439638882,0.5586207139107564,0.5629051444194306
RET_VOL_ALL_ASSETS,85,0.587178020146408,0.5350081822985413,0.550654644318617,0.5625044408364229
SOL_VOL_ETH_VOL,59,0.5977906512788882,0.5336519296154496,0.5610011923036684,0.5533906187854843
SOL_ALL,43,0.5431846781195557,0.5275981740286027,0.542869210035174,0.5425085695229029
SOL_ALL_PLUS_REL,43,0.5431846781195557,0.5275981740286027,0.542869210035174,0.5425085695229029
SOL_RET_VOL,33,0.5137217904657894,0.4971979749868359,0.5122136030456366,0.5088953920331633
VOL_CORE_ALL_ASSETS,41,0.5038258063020674,0.4841401390531852,0.5069454663147959,0.5109870281755646
MINIMAL_SOL_EXOG_VOL,27,0.5316044897843617,0.4804225864771419,0.5123964034101811,0.5114251399386026
SOL_VOL_ONLY,15,0.5067598668287286,0.4686737223752573,0.4879789344374169,0.4955095664566942
